transcript_id,SRR1039508,SRR1039509,SRR1039512,SRR1039513
ENST00000487177,0,6,0,4
ENST00000341426,7,0,0,0
ENST00000460473,3,1,0,3
ENST00000478729,0,0,0,0
ENST00000606533,0,0,0,0
ENST00000493183,0,0,0,0
ENST00000468793,0,0,0,0
ENST00000457440,0,0,0,0
ENST00000487559,0,0,0,0
ENST00000417061,1,0,0,1
ENST00000482074,9,0,0,0
ENST00000466752,0,0,0,0
ENST00000452264,0,1,0,0
ENST00000496751,0,0,0,0
ENST00000486681,0,0,0,0
ENST00000464373,0,3,0,0
ENST00000486379,0,0,0,0
ENST00000490997,0,0,0,0
ENST00000636630,2,5,0,0
ENST00000635509,0,1,0,0
ENST00000587071,3,0,0,0
ENST00000364855,0,0,0,0
ENST00000470931,0,0,0,0
ENST00000509982,0,0,0,0
ENST00000462129,1,2,0,1
ENST00000508455,4,0,0,0
ENST00000450734,43,26,36,8
ENST00000607061,0,0,0,0
ENST00000465822,0,0,0,0
ENST00000351959,0,0,0,0
ENST00000637697,0,0,0,0
ENST00000377842,0,0,0,0
ENST00000453732,0,0,0,0
ENST00000377845,0,0,0,0
ENST00000488353,10,56,0,46
ENST00000476083,0,0,0,0
ENST00000378585,0,0,0,0
ENST00000640067,0,0,0,0
ENST00000325425,0,0,0,0
ENST00000466557,1,0,4,0
ENST00000450390,41,2,0,15
ENST00000598846,18,38,0,7
ENST00000378453,0,0,0,0
ENST00000341991,0,0,0,0
ENST00000485539,0,0,0,0
ENST00000438966,0,1,0,1
ENST00000494279,0,0,0,0
ENST00000491024,0,0,0,0
ENST00000351136,0,0,0,0
ENST00000491020,0,0,0,0
ENST00000448958,0,0,0,0
ENST00000549778,0,0,0,0
ENST00000526113,0,0,0,0
ENST00000464972,0,0,0,0
ENST00000474481,6,0,0,0
ENST00000636330,0,0,0,0
ENST00000461111,0,0,0,5
ENST00000495451,0,0,0,0
ENST00000416774,0,0,0,0
ENST00000445300,0,0,0,0
ENST00000398216,0,0,0,0
ENST00000527383,0,0,0,0
ENST00000328596,0,0,0,0
ENST00000621860,0,0,0,0
ENST00000514695,0,0,0,0
ENST00000589531,0,0,0,0
ENST00000463895,1,1,0,1
ENST00000417324,0,0,2,0
ENST00000484669,0,0,0,0
ENST00000484667,0,0,0,0
ENST00000464570,0,0,0,0
ENST00000378638,0,0,0,0
ENST00000378633,0,0,0,0
ENST00000514057,3587,3558,1,1
ENST00000476718,122,130,0,72
ENST00000463835,0,4,0,0
ENST00000429505,0,0,0,0
ENST00000576232,0,0,0,0
ENST00000638002,0,0,0,0
ENST00000588951,0,0,0,0
ENST00000632503,0,0,0,0
ENST00000605895,112,166,0,64
ENST00000496905,0,0,0,0
ENST00000304952,0,0,0,0
ENST00000357898,0,0,0,0
ENST00000487819,0,0,0,0
ENST00000645609,0,0,0,11
ENST00000356876,0,0,0,0
ENST00000477976,0,0,0,6
ENST00000645600,0,0,0,0
ENST00000357876,0,0,0,0
ENST00000478641,9,1,0,5
ENST00000470659,1,0,0,0
ENST00000613751,0,0,0,0
ENST00000607720,0,0,0,0
ENST00000338895,0,0,0,0
ENST00000497965,0,0,0,0
ENST00000497747,1,1,0,1
ENST00000585826,0,0,0,0
ENST00000473872,1,3,0,3
ENST00000424657,0,0,0,0
ENST00000327044,59,48,0,0
ENST00000497186,0,0,0,0
ENST00000476572,0,0,0,0
ENST00000642026,0,0,0,0
ENST00000639753,0,0,0,0
ENST00000626918,0,0,0,0
ENST00000340850,0,0,0,0
ENST00000467267,0,0,0,0
ENST00000443772,0,0,0,0
ENST00000618323,0,0,0,0
ENST00000503294,0,0,0,0
ENST00000503297,0,0,0,0
ENST00000466223,0,0,0,0
ENST00000507596,0,0,0,0
ENST00000493316,0,0,0,0
ENST00000308647,8,8,0,0
ENST00000447500,0,2,1,0
ENST00000514502,0,0,0,0
ENST00000634054,0,0,0,0
ENST00000489635,0,0,0,0
ENST00000517147,0,0,0,0
ENST00000464367,0,0,0,2
ENST00000481401,0,0,0,0
ENST00000618181,0,0,0,0
ENST00000593022,0,0,0,0
ENST00000485984,0,0,0,0
ENST00000430786,0,0,0,0
ENST00000531019,0,0,0,0
ENST00000476163,0,0,0,0
ENST00000427302,0,0,0,0
ENST00000466131,0,0,0,0
ENST00000467408,8,2,0,0
ENST00000489180,16,9,0,0
ENST00000462686,0,0,0,0
ENST00000640892,0,0,0,0
ENST00000471018,0,0,0,0
ENST00000525285,0,0,0,1
ENST00000504800,0,0,0,0
ENST00000607013,7,6,0,7
ENST00000354700,24,3,0,0
ENST00000618051,0,0,0,0
ENST00000635451,0,0,0,0
ENST00000428932,0,0,0,0
ENST00000509860,0,0,0,0
ENST00000379268,0,0,0,0
ENST00000488340,0,0,0,0
ENST00000379265,0,0,0,0
ENST00000412639,0,0,0,5
ENST00000641254,0,0,0,0
ENST00000469225,0,0,0,0
ENST00000608600,0,0,0,0
ENST00000473600,0,0,0,0
ENST00000623070,0,0,0,0
ENST00000379198,36,31,0,7
ENST00000454562,0,0,0,0
ENST00000428803,0,0,0,24
ENST00000418124,0,0,0,0
ENST00000477585,0,0,0,0
ENST00000488011,0,0,0,0
ENST00000378486,0,0,0,0
ENST00000469318,0,0,0,0
ENST00000466430,4,3,6,5
ENST00000469643,0,0,0,0
ENST00000445317,0,0,0,0
ENST00000420957,0,0,0,0
ENST00000440200,0,0,0,0
ENST00000449895,0,0,0,0
ENST00000466941,0,0,0,0
ENST00000356026,2,0,0,0
ENST00000378156,0,3,0,0
ENST00000445884,0,0,0,0
ENST00000433407,0,0,0,0
ENST00000514428,0,0,0,0
ENST00000613533,0,0,0,3
ENST00000330388,0,0,0,0
ENST00000505370,5,0,0,0
ENST00000484676,0,0,0,0
ENST00000475523,0,0,0,0
ENST00000607342,0,0,0,0
ENST00000494684,0,0,0,2
ENST00000474033,271,13,0,195
ENST00000477740,0,0,0,0
ENST00000377263,0,0,0,6
ENST00000516595,0,0,0,0
ENST00000338370,54,10,0,0
ENST00000530233,0,0,0,2
ENST00000291386,110,129,0,79
ENST00000377464,0,0,0,3
ENST00000510434,0,0,0,0
ENST00000487804,0,4,0,0
ENST00000526904,0,0,0,0
ENST00000425828,0,0,0,0
ENST00000496353,3,3,0,2
ENST00000606645,0,0,0,0
ENST00000470648,0,0,0,0
ENST00000262450,0,0,0,0
ENST00000493678,0,0,0,67
ENST00000417917,0,0,0,0
ENST00000294600,0,0,0,0
ENST00000466300,0,0,0,0
ENST00000442305,0,0,0,0
ENST00000621981,797,903,1217,1024
ENST00000440038,3,0,8,3
ENST00000609981,0,0,0,0
ENST00000614998,0,0,0,0
ENST00000355826,0,0,0,0
ENST00000384328,0,0,0,0
ENST00000641426,0,0,0,0
ENST00000335137,0,0,0,0
ENST00000356937,25,0,0,0
ENST00000462432,8,6,0,5
ENST00000472264,0,0,0,0
ENST00000464351,2,1,0,1
ENST00000453341,0,0,0,0
ENST00000460696,0,0,0,0
ENST00000342753,0,0,0,0
ENST00000464195,0,0,0,0
ENST00000426406,0,0,0,0
ENST00000606993,0,0,0,0
ENST00000492842,0,0,0,0
ENST00000427317,0,0,0,0
ENST00000492845,0,0,0,1
ENST00000583026,0,0,0,0
ENST00000445648,5,8,0,0
ENST00000641403,0,0,0,0
ENST00000442636,0,0,0,0
ENST00000498342,0,0,0,13
ENST00000449154,0,0,0,0
ENST00000389632,0,0,0,0
ENST00000377860,0,0,0,0
ENST00000423764,23,0,0,0
ENST00000623083,60,51,76,31
ENST00000418286,0,0,0,0
ENST00000378712,0,13,0,0
ENST00000379031,10,4,0,2
ENST00000379037,0,0,0,0
ENST00000469251,0,0,0,0
ENST00000450402,0,0,0,0
ENST00000445254,0,0,0,0
ENST00000469499,0,0,0,0
ENST00000360001,319,259,0,195
ENST00000418137,0,0,0,0
ENST00000379325,0,0,0,0
ENST00000321336,0,2,0,0
ENST00000379320,0,0,0,0
ENST00000378322,12,13,0,1
ENST00000403197,0,0,0,2
ENST00000332831,0,0,0,0
ENST00000602865,4,3,0,4
ENST00000461311,0,0,0,0
ENST00000641006,0,0,0,0
ENST00000514189,0,0,0,0
ENST00000607222,9,0,0,7
ENST00000453576,0,0,0,0
ENST00000476993,0,9,0,6
ENST00000377782,0,0,0,0
ENST00000403997,0,0,0,0
ENST00000471190,0,0,0,0
ENST00000494149,2,2,3,0
ENST00000498810,2,1,0,0
ENST00000491311,0,5,0,0
ENST00000418865,231,197,0,162
ENST00000637179,0,0,0,0
ENST00000471354,0,0,0,0
ENST00000514436,3,4,4,1
ENST00000496488,0,0,0,0
ENST00000377674,0,0,0,2
ENST00000478938,5,40,0,8
ENST00000458452,0,0,0,0
ENST00000572242,15,20,0,18
ENST00000585745,0,0,0,0
ENST00000616125,0,0,0,0
ENST00000504599,0,0,0,0
ENST00000319084,0,0,0,0
ENST00000470357,0,0,0,0
ENST00000602640,0,0,0,0
ENST00000606170,0,0,0,0
ENST00000377411,0,0,0,0
ENST00000377414,0,0,0,0
ENST00000602883,0,0,0,1
ENST00000377320,0,0,0,0
ENST00000493797,0,0,0,0
ENST00000460192,0,0,0,0
ENST00000607589,1,1,0,1
ENST00000377258,0,0,0,0
ENST00000377256,0,0,0,0
ENST00000416272,0,0,0,0
ENST00000616947,0,0,0,0
ENST00000497940,0,0,0,0
